Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Float shares outstanding,Volume 1 minute
IDIG,"International Digital Holding, Inc.",0.2,USD,122.22222222222223,4375,6.0344827586206895,,,,,,,,Technology services,,,500
OHCS,"Optimus Healthcare Services, Inc.",0.077,USD,113.8888888888889,51000,3.744136022259256,3526189,USD,,-0.2139,USD,15.588003157063932,0,Consumer non-durables,,,1000
ATIG,Atlantis Gaming Corporation,0.0008,USD,100,3785000,30.47136014168981,1185906,USD,,,,,,Technology services,,,1717500
CWBR,CohBar Inc.,0.5,USD,95.69471624266144,8548,12.411790329606504,1453463,USD,,,,,0,Health technology,,2468157.9858,5472
TZPC,ThermaFreeze Products Corp.,0.0228,USD,94.87179487179486,60925,6.249166606833311,69907,USD,,-0.002,USD,-143.47826086956522,0,Process industries,,,27592
SPRQF,SPARQ SYS INC.,0.626,USD,88.49744052996084,18500,4.830287206266319,68312887.47666666,USD,,,,,0,Electronic technology,,51328068.856,2000
REYGF,Reyna Gold Corp.,0.0275,USD,83.33333333333334,242000,7.595445243744742,1762269.666666667,USD,,-0.05337186,USD,-10.87966454305334,0,Non-energy minerals,,51473066.62212,40000
FBDS,Fuss Brands Corp.,0.1,USD,66.66666666666669,5251,9.502352515381835,,,,,,,,Health technology,,,5154
ISGIF,INSURAGUEST TECHNOLOGIES INC.,0.0177,USD,60.90909090909092,433330,10.915470783678055,3018448.968,USD,,-0.00797256,USD,60.0972972972973,0,Non-energy minerals,,34391591.78,10000
HLAN,Heartland BancCorp,145,USD,57.69439912996192,14682,20.002724795640326,291210725.55736816,USD,14.587525150905433,9.94,USD,,3.30179,Finance,Strong buy,2000690.1530999998,2500
UAPC,United American Petroleum Corp.,0.0014,USD,55.55555555555556,742569,8.382426647882745,450615,USD,,-0.0001,USD,0,0,Energy minerals,,302117857.652,22390
ATPC,Agape ATP Corporation,0.135,USD,54.285714285714306,196455211,13.805586725737598,10390505.657142859,USD,,-0.0313,USD,-30.41666666666667,0,Health technology,,57357739.9076,443566
TOEYF,Toro Energy Ltd.,0.2527,USD,51.40802875973637,20000,6.75812664729337,30395225.409393933,USD,,-0.05323699600000001,USD,-70.6552454125,0,Non-energy minerals,Strong buy,105332751.63000001,20000
ISPO,Inspirato Incorporated,7.72,USD,47.32824427480915,32023789,50.94541563008778,50543139.07633587,USD,,-14.517,USD,-188.09287557054972,0,Consumer services,Buy,1888617.01456,56887
LRGR,"Luminar Media Group, Inc.",0.022,USD,44.73684210526315,42000,5.054029987244591,985367,USD,,-0.0041,USD,35.9375,0,Consumer services,,6294523.1184,12000
ORPEF,Orpea ACT,14.22,USD,42.2,400,78.73395795606645,2263571562.00546,USD,0.0023587764331349146,6028.549293712,USD,8908.634371401657,0,Health services,Sell,84851860.26799999,200
NWXPF,Newport Exploration Ltd.,0.0989,USD,41.28571428571428,92500,6.884233245264764,10441849.066923078,USD,6.64681359552291,0.014879310000000001,USD,-40.3339289523788,23.0769,Non-energy minerals,,77389928.83999999,82500
ABQQ,AB INTL Group Corp.,0.0007,USD,40,82661374,4.090156050664801,1632376.2,USD,,-0.0006,USD,89.47368421052632,0,Commercial services,,2101116629.8500001,1000000
CERGF,Ceres Global Ag Corp.,2.0918,USD,39.45333333333334,10000,4.002081082162725,65068253.158615924,USD,9.227122818306846,0.22670121999999998,USD,,0,Transportation,,26102851.645,10000
LUMN,"Lumen Technologies, Inc.",2.67,USD,37.628865979381445,160603571,8.833619230601283,2710145576.365979,USD,,-10.9324,USD,-560.2886996436553,0,Communications,Sell,991036334.0799999,2053015
KOSCF,Kose Corp.,67,USD,35.641259236764846,1465,5.524132730015083,3822343303.681028,USD,39.33606855061675,1.703271386,USD,-39.19025201037643,1.3834,Consumer non-durables,Neutral,30812256.66302,840
WLSS,WELSIS CORP.,3.02,USD,34.22222222222222,27762,3.91897233201581,,,,,,,,Health services,,,3500
PCSA,"Processa Pharmaceuticals, Inc.",2.28,USD,34.11764705882352,57872857,2222.750167072378,6516256.094117646,USD,,-6.4572,USD,80.82448877775865,0,Health technology,Strong buy,2505025.75893,133108
CCPUF,SATO TECHNOLOGIES CORP,0.2072,USD,33.677419354838705,16873,9.32983135194913,10767477.985185184,USD,5.429066572618743,0.03816494,USD,,0,Technology services,Neutral,30702438.912600003,1000
BURUD,NUBURU INC,1.56,USD,33.33333333333335,197296,15.665089010157502,1503178.6666666667,USD,,-24.0892,USD,-312.2039698836413,0,Electronic technology,,462399.887304,200
PANHF,Ping An Healthcare & Technology Co Ltd.,1.39,USD,31.132075471698094,5175,6.411844876719118,1555149905.0141091,USD,,-0.042557172,USD,80.04920008548098,0,Retail trade,Buy,517690402.68749994,5000
CAULF,Cauldron Energy Ltd.,0.0155,USD,30.252100840336126,200000,4.669580484889237,19011224.919999998,USD,,-0.0029954320000000006,USD,-47.46059751573345,0,Non-energy minerals,,636218282.4200001,200000
NIHK,"Video River Networks, Inc.",0.0044,USD,27.536231884057983,159191,3.777024333763572,802429.9130434783,USD,,,,,0,Electronic technology,,128937231.33,98191
KTRIF,KOOTENAY RESOURCES INC,0.065,USD,27.450980392156875,4080,3.8625390514058506,,,,,,,,Non-energy minerals,,,2000
TKECY,Tokyo Electric Power Company Holdings,7.73,USD,27.033689400164345,2894,4.594380060327036,7758220545.654508,USD,51.15817339510258,0.1511,USD,,0,Utilities,,,1336
LBRDB,Liberty Broadband Corporation,65,USD,26.82926829268293,1445,10.425685425685426,9269587581.234495,USD,10.969353314432293,5.9256,USD,-10.210019092644785,0,Communications,,131575.55917999998,100
OVTZ,"Oculus Visiontech, Inc.",0.06,USD,26.315789473684205,40001,3.0785392696348173,5485354.105263157,USD,,-0.0048,USD,66.43356643356644,0,Technology services,,66598072.88640001,12000
EMWPF,Eros Media World PLC,0.0015,USD,25.00000000000001,153581,22.51392635158915,21440,USD,,,,,,Consumer services,,,148900
GSPI,"Green Star Products, Inc.",0.001,USD,24.999999999999996,7983461,22.867252708222342,670397.4999999999,USD,,,,,,Process industries,,,13732
WANSF,CIRATA PLC,0.5,USD,24.999999999999993,179928,6.0638781886014135,62968229.69477496,USD,,-0.46948239999999997,USD,26.38794577258426,0,Technology services,Strong buy,98460794.752,500
VXTRF,VOXTUR ANALYTICS CORP.,0.0798,USD,24.68749999999999,981790,4.402701020461243,57557026.8,USD,,-0.05263366,USD,80.70886597424266,0,Technology services,Neutral,570723360.48,5000
BRQSF,"Borqs Technologies, Inc.",0.1259,USD,24.653465346534656,38531,9.657618367295788,3521432.9722772283,USD,,,,,0,Technology services,,16386199.1747,100
CALC,"CalciMedica, Inc.",5.14,USD,23.85542168674697,247042,11.457445377683577,55255805.060240954,USD,,-2.636,USD,93.40653843267714,0,Health technology,Strong buy,4259669.998199999,137
BFYW,Better For You Wellness Inc.,0.0021,USD,23.52941176470588,1433212,16.517329682310287,1066389.8823529412,USD,,-0.0067,USD,11.842105263157892,0,Producer manufacturing,,172616122.42999998,3012
CACO,Caravelle International Group,0.496,USD,23.260437375745532,1590497,4.805206733042392,26176190.457256462,USD,,,,,0,Transportation,,9697592.947900001,1574
CVLT,"Commvault Systems, Inc.",151.35,USD,22.849025974025967,1432153,4.354072964277918,6631723196.747971,USD,40.240886974555316,3.7611,USD,,0,Technology services,Buy,43093811.1303,44818
CMGO,"CMG Holdings Group, Inc.",0.0022,USD,22.222222222222232,6188124,28.17337478214787,965078.888888889,USD,,-0.0002,USD,-100,0,Commercial services,,424380943.58400005,300000
ANTE,AirNet Technology Inc.,2.2,USD,22.22222222222223,97824,4.404244686263299,8054705,USD,,-0.2603,USD,-164.2639593908629,0,Commercial services,,14306098.75257,134
NRHI,Natural Resource Holdings Inc.,0.15275,USD,22.199999999999996,3057,4.760940663448061,872185.392,USD,,-0.6285,USD,-223.30246913580245,0,Non-energy minerals,,559888.97384,1356
SARTF,Sartorius AG,214.86,USD,22.12811913829364,1000,8.8339222614841,16652971404.347147,USD,177.34397578114203,1.211543832,USD,-84.63857370039283,0.372449,Health technology,Neutral,1485408.7906,1000
SPEYD,SPEY RESOURCES CORP,0.05,USD,21.74336498660823,8540,4.812623274161735,560502.6666666667,USD,,-0.281398572,USD,37.63766831598955,0,Non-energy minerals,,10834348.6581,6000
HLIT,Harmonic Inc.,14.24,USD,21.19148936170213,6775444,5.779901609061814,1659560793.4774468,USD,29.312474269246604,0.4858,USD,161.4639397201292,0,Electronic technology,Strong buy,113960128.532,109073
ROIC,Retail Opportunity Investments Corp.,15.74,USD,20.70552147239265,12628779,10.648502539192469,1662004763,USD,57.782672540381796,0.2724,USD,-26.852846401718587,4.60123,Finance,Neutral,123287146.378,210343
MULN,"Mullen Automotive, Inc.",1.345,USD,20.0892857142857,12625616,3.3002354384183503,21562326.669642854,USD,,-1208.9308,USD,95.76413463745187,0,Technology services,,14161313.3045,25584
MMIRF,Medmira Inc.,0.06,USD,19.99999999999999,69429,4.398973579167459,43098426,USD,,-0.00326619,USD,-38.341606804011924,0,Health technology,,210400739.984,15514
INVO,"INVO BioScience, Inc.",1.03,USD,19.697850087158624,4205095,77.28789042828103,3923014.445090064,USD,,-4.9826,USD,71.47192194943203,0,Health technology,,3784153.0925,11743
BLUVF,BLUERIVER ACQUISITION CORP UNIT 1 CL A SHS & 1/3 RED WT(04/01/2026),10.71,USD,19.000000000000007,4000,4.438526409232135,105728393,USD,,,,,0,Finance,,823623,1900
GHAV,"Grand Havana, Inc.",0.00095,USD,18.749999999999993,5758286,5.319346309011511,125612.5625,USD,,-0.0051,USD,-135.17241379310343,0,Consumer non-durables,,65464763.52,1980000
LQWC,LifeQuest World Corp.,0.01183,USD,18.3,257150,15.003792519983662,713286,USD,,,,,0,Health technology,,4294670.8916,2500
CUE,"Cue Biopharma, Inc.",0.765,USD,18.27458256029684,5676823,17.44698434670578,37212136.989795916,USD,,-1.0663,USD,20.97383828651893,0,Health technology,Strong buy,48195878.9266,33789
TGNT,Totaligent Inc.,0.02125,USD,18.05555555555557,405000,3.656904687519752,3392669.9305555564,USD,,-0.0062,USD,-77.14285714285714,0,Commercial services,,155734352.165,15000
NEO,"NeoGenomics, Inc.",17.27,USD,17.964480874316934,3832962,4.652268321901805,2205585070.9719944,USD,,-0.6698,USD,33.61744301288404,0,Health services,Buy,126116749.408,52243
FGPRB,"Ferrellgas Partners, L.P.",174,USD,16.778523489932887,235375,1188.7626262626263,280798889.6955224,USD,,,,,0,Distribution services,,,100
ENVB,"Enveric Biosciences, Inc.",0.5814,USD,16.746987951807235,50743045,133.95696316615766,4624204.5939759035,USD,,-6.4171,USD,39.74101340945799,0,Health technology,,7809848.9901,61077
RGTLF,Argent BioPharma Limited,0.245,USD,16.666666666666668,350042,26.14263202312225,11859372,USD,,-2.4347415920000004,USD,57.138667517858075,0,Health technology,,47309648.8104,150000
JTBK,Jetblack Corp.,0.0035,USD,16.666666666666664,2416206,4.6787207036072065,2153976.9999999995,USD,,-0.0016,USD,-14.285714285714294,0,Process industries,,335978563.30399996,2000
GULTU,Gulf Coast Ultra Deep Royalty Trust,0.0142,USD,15.918367346938778,896794,38.017626934702335,3268451.6734693884,USD,,0,USD,-100,6.99592,Miscellaneous,,113259616.89899999,345
NYWKF,NTG Clarity Networks Inc.,0.8,USD,15.590232625343155,170200,4.907034473214567,30099566.315789476,USD,10.109301770745299,0.07913504,USD,329.8233779043685,0,Technology services,,20468593.3635,1500
TECFF,TECO 2030 ASA,0.15,USD,15.384615384615378,100000,6.946856547412296,30255430.312499993,USD,,,,,0,Producer manufacturing,,84052947.838848,30000
PHAR,Pharming Group N.V.,7.82,USD,14.662756598240467,67581,27.676713899582275,556515768.0128701,USD,,-0.1531,USD,-128.50746268656715,0,Health technology,Strong buy,,760
ORGS,Orgenesis Inc.,0.642,USD,14.642857142857135,1854875,35.9435677024796,30310406.657142855,USD,,-1.5206,USD,-16.165011459129108,0,Health technology,,41847979.6875,5841
VRNS,"Varonis Systems, Inc.",55.59,USD,14.642194266859148,8552668,6.555588072030416,6198463768.452052,USD,,-0.9393,USD,10.011496455259632,0,Technology services,Buy,107613329.34799999,146337
RMYHY,Ramsay Health Care Ltd.,8.46,USD,14.170040485829968,1506,3.2668112798264644,7030243784.366909,USD,13.962700115530618,0.6059,USD,96.59312134977289,1.21551,Health services,,,793
GAME,"GameSquare Holdings, Inc.",1.15,USD,13.861386138613852,1437723,9.581581425478188,35639475.7920792,USD,,,,,,Miscellaneous,Strong buy,,2773
SIPC,"Sipp Industries, Inc.",0.00125,USD,13.636363636363633,390000,3.2251688872092283,430405.6818181818,USD,,0,USD,100,0,Process industries,,72445080.95199999,390000
MOVE,Movano Inc.,0.4282,USD,13.580901856763933,1541816,9.254009048643963,42077102.531034485,USD,,-0.5595,USD,37.513960241232965,0,Technology services,,68030697.5018,41018
RBTK,Zhen Ding Resources Inc.,2.28,USD,13.432835820895525,500,3.591954022988506,252481156,USD,,-0.01,USD,-163.15789473684214,0,Non-energy minerals,,51378867.364,500
AXIL,"AXIL Brands, Inc.",6.649,USD,13.270868824531515,34296,3.7959048146098504,39089065.490289606,USD,45.50992470910335,0.1461,USD,974.264705882353,0,Consumer non-durables,,2695570.41622,512
SFM,"Sprouts Farmers Market, Inc.",95.88,USD,13.253012048192769,6474067,4.775615519866915,9633760527.3253,USD,30.097940733299847,3.1856,USD,32.336324360252576,0,Retail trade,Neutral,99818976.127,72090
TUIFF,TUI AG,7.75,USD,13.138686131386867,501481,341.9810420076377,3932590420.2593327,USD,7.154673234072012,1.0832081,USD,,0,Consumer services,Buy,446591545.393,1280
CSUI,Cannabis Suisse Corp.,0.026,USD,13.043478260869563,20000,5.862523816503004,1202624.347826087,USD,,-0.0056,USD,-3.703703703703697,0,Process industries,,33854932.6629,4506
FFIV,"F5, Inc.",200.66,USD,12.990596317360206,2646599,5.1381053185797345,11760969526.060476,USD,21.562896258247545,9.3058,USD,69.01198692335633,0,Technology services,Neutral,58188987.6402,33905
UGDIF,Unigold Inc.,0.035,USD,12.903225806451623,155000,9.814971948176948,9598952.222222224,USD,,-0.00967042,USD,55.055877943200905,0,Non-energy minerals,,241719639.44,155000
FWONB,Liberty Media Corporation,72.13,USD,12.773608505315813,1725,4.799666110183639,29730954293.999996,USD,55.132614843690284,1.3083,USD,-27.489885274067504,0,Consumer services,,44271.4108,1200
HMDPF,Hammond Power Solutions Inc.,85,USD,12.582781456953644,3255,3.43463121240899,1011918532.1155794,USD,21.02038487681733,4.0436938,USD,8.176499417343582,0.667157,Producer manufacturing,Strong buy,8056487.298520001,100
THURF,Thunderstruck Resources Ltd,0.045,USD,12.499999999999993,119671,7.504436654605655,1436037.2999999998,USD,,-0.01616658,USD,19.615964454486136,0,Non-energy minerals,,23350671.2037,5762
XSNX,NOVACCESS GLOBAL INC.,0.009,USD,12.49999999999999,221452,3.286949836062167,554709.375,USD,,-0.1219,USD,17.187500000000004,0,Health technology,,17449992.9624,221444
ORLCF,ORACLE COMMODITY HLDG CORP,0.06185,USD,12.454545454545459,98856,3.2194149715692597,,,,,,,,Finance,,,100
JBLU,JetBlue Airways Corporation,6.66,USD,12.310286677908945,52765641,4.320884658142867,2265299505.440135,USD,,-2.461,USD,-167.70368758838245,0,Transportation,Neutral,315620110.01,405554
SCCAF,Sleep Country Canada Holdings Inc.,25.12,USD,12.24307417336909,35446,14.636220992650093,851599513.1402509,USD,17.26557334439613,1.45491838,USD,-31.01593912326703,2.70239,Retail trade,Sell,33330910.627500005,100
JTAI,Jet.AI Inc.,0.3351,USD,12.111073937771835,56556953,40.76879338270112,4693123.147206424,USD,,-1.169,USD,-1110.3716508210891,0,Transportation,Strong buy,8035689.457447999,92921
CPHRF,"Cipher Pharmaceuticals, Inc.",8.33,USD,11.81208053691275,58228,4.322855573208214,200864296.77129188,USD,9.101633184821194,0.91522036,USD,-14.434682561417098,0,Health technology,Buy,13024684.216200002,400
TOYRF,Toys R Us ANZ LTD.,0.0695,USD,11.736334405144708,320809,3.4681754103748306,8040505.677083334,USD,,-0.245022921,USD,-250.96502773023244,0,Distribution services,,67006260.452999994,210878
GAYMF,Galway Metals Inc.,0.335,USD,11.666666666666679,57648,3.727835904864141,27566181.134831462,USD,,-0.04510402,USD,60.69533600662559,0,Non-energy minerals,,62911944.008200005,2000
DRMKY,Dormakaba Hldg AG,11.8,USD,11.42587346553353,5530,10.63870719507503,2487071250.9720006,USD,83.92603129445234,0.1406,USD,-73.35102350265352,1.10645,Electronic technology,,,5530
CCOHF,"China State Construction International Holdings, Ltd.",1.39,USD,11.199999999999992,6000,3.481490077753278,7002287360.9135685,USD,5.968242774101414,0.232899373,USD,34.59780305510904,5.20446,Industrial services,Strong buy,1771186891.0400002,6000
GANDF,Gander Gold Corporation,0.05,USD,11.111111111111121,86100,7.562914488998199,4683433.333333334,USD,,-0.015649839999999998,USD,-118.20199716125362,0,Non-energy minerals,,46208559.28168,3000
AIU,Meta Data Limited,5.06,USD,10.964912280701755,4916691,3.8677763537438685,70200434,USD,,,,,0,Commercial services,,,3421
VHC,VirnetX Holding Corp,6.65,USD,10.83333333333334,20371,3.4281915788765103,24476395.650000002,USD,,-7.6968,USD,26.539026857808235,0,Technology services,,3067064.53272,100
SASOF,Sasol Ltd.,7.98,USD,10.833333333333336,7050,7.0825798673899945,5084608227.529091,USD,32.04214722860723,0.24904698000000003,USD,-73.49226924934817,8.39161,Process industries,Buy,579167457.03009,2525
OPOF,Old Point Financial Corporation,19.725,USD,10.797177972004404,25241,6.589135145012661,100116132.79652639,USD,14.042144230084716,1.4047,USD,,3.14557,Finance,,4033553.9420000003,200
FISI,"Financial Institutions, Inc.",27.58,USD,10.718586912886384,238787,3.548704459157211,426026850.5523886,USD,8.565217391304346,3.22,USD,,4.81734,Finance,Neutral,14991648.9632,6561
OILFF,NEXTLEAF SOLUTIONS Ltd.,0.062,USD,10.714285714285712,102400,8.695652173913043,9981512.752941176,USD,,-0.00029528,USD,97.75645603936383,0,Process industries,,151113530.88000003,20000
COLL,"Collegium Pharmaceutical, Inc.",38.6,USD,10.633419317856122,1732112,3.8038708691304874,1262811352.221267,USD,16.08132316793734,2.4003,USD,,0,Health technology,Buy,31742772.276899997,17822
FHGDF,Founder Holdings Ltd.,0.0661,USD,10.16666666666668,20000,6.622516556291391,79303273.63107143,USD,10.3671736073404,0.006375894,USD,37.35449466449914,0,Technology services,,1185904885,20000
