Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Volume 1 minute,Float shares outstanding
STOHF,Equinor ASA,26.2,USD,0.7692307692307665,260898,16.65090275517433,72871076787.46097,USD,8.030010712279482,3.2627602799999997,USD,-55.051666312584715,4.59455,Energy minerals,Sell,777,822222975.6346049
VLVLY,Volvo AB,24.414,USD,-1.3177041228779183,470420,6.884178331272363,50404756768.95359,USD,9.469029980995229,2.5783,USD,41.945606694560674,2.14624,Producer manufacturing,Buy,500,
DNBBY,DNB ASA,19.9975,USD,-2.2127139364303208,857507,13.336532001194445,30398146536.32992,USD,8.30357513598804,2.4083,USD,,5.20392,Finance,Neutral,183,
NJDCY,Nidec Corp.,10.28,USD,-4.85005553498705,757471,13.497609539745076,25978068056.131245,USD,30.306603773584904,0.3392,USD,74.66529351184346,0.906869,Producer manufacturing,Buy,268,
ERIXF,Ericsson (L.M.) Telephone Co.,6.55,USD,-2.238805970149259,3354908,8.724454914655327,21821318783.75341,USD,,-1.01080533,USD,-401.52267851432555,3.68249,Electronic technology,Neutral,200,2847533577.15018
SMEGF,Siemens Energy AG,26.057,USD,-10.364637082903343,113312,42.22859911303246,20376291846.467358,USD,,-2.8089606999999996,USD,-150.21687889265388,0,Producer manufacturing,Buy,4000,544555528.4
SGBLY,Standard Bank Group Ltd.,12.17,USD,-1.8548387096774226,388249,6.327818514600878,19784616742.5648,USD,8.52658866391088,1.4273,USD,,4.55746,Finance,,154,
TNRSF,Tenaris S.A.,14.91,USD,-7.815011747248667,152200,10.258484143834462,17601804359.591473,USD,4.987673822188927,2.9893695,USD,6.9693383776757765,4.12255,Non-energy minerals,Buy,200,454302323.018856
CHEAF,China Eastern Airlines Corp. Ltd.,0.247,USD,-7.835820895522394,252063,8.529502333183315,7917904207.200001,USD,,-0.0524923,USD,53.31730823830168,0,Transportation,Buy,252063,1399330225.02
MSSMY,"Misumi Group, Inc.",8.08,USD,-7.796238816870543,400471,17.155788409472564,5192442240.869373,USD,21.76137893886345,0.3713,USD,-2.005806281340722,0.81379,Producer manufacturing,,169295,
GNGYF,Guangshen Railway Co. Ltd.,0.3093,USD,8.5263157894737,519060,26.32363680623174,3275494467.6540484,USD,14.535740297781066,0.021278586,USD,,0,Transportation,Strong buy,150000,1431300000
CYAGF,Cyber Agent Inc.,6.4,USD,-4.477611940298504,2500180,58689.67136150235,3238600976.565456,USD,32.17724824323889,0.19889830079999998,USD,120.26668173012753,1.49328,Technology services,Buy,180,407924025.7752
TPSRF,Topsports Intl Holdings Ltd.,0.42,USD,-17.647058823529417,208000,8.840380136345862,2604513333.6521735,USD,8.39299839288069,0.050041711,USD,-17.932393758063387,6.95342,Retail trade,Strong buy,6000,2220340619.78
AVAL,Grupo Aval Acciones y Valores S.A.,2.116,USD,-0.19338710438185797,683584,15.39724978320363,2475131409.75,USD,24.405997693194927,0.0867,USD,,7.21857,Finance,Sell,1656,
BKDT,Brookdale Senior Living Inc. 7.00% Tangible Equity,104.51,USD,-0.8255836022015471,102410,5.538250213612814,1474615917,USD,,-0.7717,USD,16.932185145317543,0,Health services,,100,169874987.586
AWEVF,Alphawave IP Group PLC,1.77,USD,-5.347593582887705,106400,12.709030100334449,1306496525.7103448,USD,,-0.0737067,USD,-629.3675315329291,0,Technology services,Buy,400,323922724.56
CET,Central Securities Corporation,42.5067,USD,-1.6845148606453042,230417,6.658123091059875,1227350000,USD,5.357267090139141,7.9344,USD,-40.679157258848335,4.27894,Miscellaneous,,2204,16023891.1392
BELGF,"Bellevue Gold, Ltd.",0.95,USD,0,467599,87.04536569928703,1210410151.6487453,USD,,-0.0061950980000000004,USD,46.29365316322345,0,Non-energy minerals,Buy,526,1226563140.17961
DWLAF,DOWLAIS GROUP PLC,0.79,USD,-1.2623422072240966,295000,33.03545432148537,1083491554.8982787,USD,,-0.4592984,USD,,6.57277,Producer manufacturing,Buy,295000,1371164446.02335
GHLD,Guild Holdings Company,13.96,USD,-0.8522727272727216,230754,26.46656038170828,856367509,USD,34.14037662020054,0.4089,USD,-69.5985130111524,3.58166,Finance,Buy,100,9230812.2936
HXGCF,Hexagon Composites ASA,2.7,USD,0.7462686567164185,142676,21.75701846684051,540546925.9192547,USD,,-0.5312722799999999,USD,-216.28450087576616,0,Process industries,Strong buy,10000,123030549.91900499
AURA,"Aura Biosciences, Inc.",9.005,USD,-8.671399594320475,1606588,12.335927332199498,446137474.9503043,USD,,-1.8647,USD,6.093569018482147,0,Health technology,Strong buy,796,41708134.61012
ADAP,Adaptimmune Therapeutics plc,1.1299,USD,-11.031496062992135,9818844,5.224125126036216,324479678,USD,,-0.7297,USD,-4.317369549678342,0,Health technology,Buy,5415,226103319.17666698
SNGSF,Singamas Container Holdings Ltd.,0.092,USD,-8.000000000000007,142296,9.179202683524707,219162962.9468354,USD,11.245408175925121,0.008181117,USD,-89.38606964981784,6.32911,Producer manufacturing,,142296,1340810223.03
MMILF,Metro Mining Ltd.,0.032,USD,-3.030303030303033,500000,6.067961165048544,190070696.85106385,USD,,-0.002110418,USD,95.77180897715193,0,Non-energy minerals,Strong buy,500000,4756086169.17
ECRTF,Atex Resources Inc.,0.9,USD,6.977297040294779,100067,15.193204075125639,186090837.79591838,USD,,-0.1037171,USD,-561.6602701833716,0,Non-energy minerals,Strong buy,1000,175702555.376
SPKL,Spark I Acquisition Corp.,10.4132,USD,-0.06525911708253493,371226,14.446558869885004,171006329.90403068,USD,435.69874476987445,0.0239,USD,,0,Finance,,1100,
MCAA,Mountain,11.6,USD,-0.17211703958691543,248924,6.298237979090549,163905360.55077454,USD,49.72138876982426,0.2333,USD,463.5265700483092,0,Finance,,47899,8379767.893987999
CMRB,First Commerce Bancorp Inc.,6,USD,4.3478260869565215,318160,27.602002307685634,139175321.33676094,USD,14.261944378416924,0.4207,USD,,2.74207,Finance,,100,
NOKPF,NOK AIRLINES PUBLIC COMPANY LIMITED,0.0003,USD,-97,404928,10.263632146849266,108865399.47472,USD,0.8073544609025145,0.00037158400000000005,USD,,0,Transportation,,404928,
ALGEF,ALLIGATOR ENERGY LTD.,0.025,USD,-4.214559386973181,143214,8.260932263516438,96744695.45454547,USD,,-0.000612702,USD,-20.64957978560008,0,Non-energy minerals,Strong buy,143214,3504238027.23
WFSTF,Western Forest Products Inc.,0.3028,USD,-0.7213114754098294,385087,9.66026139527883,95910558.19469881,USD,,-0.13796958,USD,-1197.6274881064137,12.0482,Non-energy minerals,Neutral,10000,314049858.048
DDEJF,Dundee Corp.,1,USD,2.040816326530614,103200,5.809240745744393,89173122.55639097,USD,,-0.16639027999999997,USD,61.27305691107775,0,Finance,,8600,71633890.581
VSEE,"VSee Health, Inc.",5.19,USD,113.58024691358024,30130506,60.318254023067894,35703555,USD,,-0.8926,USD,-32.49220721389342,0,Technology services,,102587,4635628.78846
RPID,"Rapid Micro Biosystems, Inc.",0.8021,USD,18.303834808259584,173213,6.711679072524866,34379458.77109145,USD,,-1.2034,USD,14.214428286284575,0,Producer manufacturing,Buy,950,20870291.5618
TKRFF,Tinka Resources Limited,0.086,USD,-6.521739130434788,220002,23.536925891452963,33652136.06153846,USD,,-0.00250988,USD,-126.29880082950137,0,Non-energy minerals,,50000,164022115.072
GSMGF,Indiana Res Ltd. ,0.04,USD,0,300000,199.29582143094402,25374851.685393263,USD,,-0.0044250700000000006,USD,0.008089613027254812,0,Non-energy minerals,,300000,541761715.194
CHUC,"Charlie's Holdings, Inc.",0.10925,USD,-18.712797619047613,199211,6.318722622759434,25043091.36904762,USD,,-0.0088,USD,51.91256830601093,0,Producer manufacturing,,850,72709199.811
AGMH,AGM Group Holdings Inc.,0.884,USD,18.024032042723633,670330,6.49221849991235,23297679.55140187,USD,,-0.3067,USD,,0,Technology services,,1520,17154813.669999998
COOT,Australian Oilseeds Holdings Limited,0.861,USD,2.512203833789738,167207,14.895150370581527,19995952.570544112,USD,,,,,0,Finance,,100,4199637.2271
BIAF,"bioAffinity Technologies, Inc.",1.635,USD,-31.302521008403357,1145725,11.043494437408068,19060046.848739497,USD,,-0.9222,USD,6.022623051054716,0,Health technology,Strong buy,200,5633528.070324
SICPL,SILVERGATE CAPITAL CORPORATION 5.375% DEP SHS REP 1/40TH PERP PFD STK A,14,USD,-4.273504273504273,1141200,11.845362590368637,17412232,USD,,,,,0,Finance,,1000,30225383.5194
ECRFF,"Cartier Resources, Inc.",0.0435,USD,-2.6845637583892614,145400,5.090697747698857,15303302.372727273,USD,,-0.00317426,USD,-22.65775339078018,0,Non-energy minerals,,23000,244414457.2
CNRIF,Condor Resources Inc.,0.106,USD,5.8941058941058975,138695,9.723293279679197,14962410.314285712,USD,19.01481720661572,0.0055746,USD,244.09411880894766,0,Non-energy minerals,,1500,89323025.155
APRAF,Trailbreaker Resources Ltd.,0.3056,USD,-6.309399717947159,107600,6.303419429294498,12385917.066666666,USD,,-0.09663037999999999,USD,-468.2067716479872,0,Non-energy minerals,,2000,40105817.7622
RGTLF,Argent BioPharma Limited,0.245,USD,16.666666666666668,350042,26.14263202312225,11859372,USD,,-2.4347415920000004,USD,57.138667517858075,0,Health technology,,150000,47309648.8104
PSUD,"PetroSun, Inc.",0.03,USD,-7.692307692307699,620376,16.082124664618735,10290023,USD,,-0.0002,USD,98.37398373983739,0,Industrial services,,221692,285733210.03900003
CPNFF,Euro Sun Mining Inc.,0.031,USD,0,120050,5.944099225113262,9936830.674999999,USD,,-0.01026098,USD,67.80176062989555,0,Non-energy minerals,,5000,307545942.97900003
STHZF,Statehouse Holdings Inc.,0.015,USD,1399.9999999999998,145400,19.87533490076002,9209261.49255,USD,,,,,,Process industries,,20000,
GMVMF,"GMV Minerals, Inc.",0.08,USD,-13.043478260869563,140500,5.549521082255357,7285655.68,USD,,-0.01063008,USD,-176.47364807224153,0,Non-energy minerals,,30000,83934126.7359
TBIO,"Telesis Bio, Inc.",4.1,USD,-2.8436018957346,2335957,10.887222425481044,6899454.7393364925,USD,,-28.3086,USD,-0.11458399643516136,0,Commercial services,Strong buy,700,454299.45072
XCUR,"Exicure, Inc.",0.6701,USD,35.40109112952112,56768261,11.20067605460841,5797134.078197615,USD,,-1.5589,USD,-610.1112565445027,0,Health technology,,23429,4489436.43215
RGXTF,REGENX TECH CORP.,0.014,USD,-29.471032745591934,265350,11.761446744381898,5537123.2,USD,,-0.019193199999999997,USD,-136.71542238268805,0,Non-energy minerals,,100,359586895.075
ESGLF,EnviroGold Global Limited,0.0259,USD,1.5686274509803964,208000,9.303490598107105,4449974.1825,USD,,-0.02797778,USD,13.413064832701874,0,Non-energy minerals,,24000,88770452.124
WTCZF,Copper Lake Resources Ltd.,0.015,USD,108.33333333333333,146900,5.943999352593671,4057557,USD,,-0.005588814,USD,42.61385199240986,0,Non-energy minerals,,100000,246990439.79999998
CHELF,CHAMPION ELEC METALS INC.,0.0217,USD,3.33333333333333,294131,7.68871438691514,3658191.7866666666,USD,,-0.02605846,USD,-65.45873382935791,0,Non-energy minerals,,40631,121113772.3
AKAN,Akanda Corp.,1.8,USD,24.137931034482765,21149366,159.42233864128954,3450022.7586206896,USD,,-7.1639,USD,,0,Process industries,,11719,1887867.5797690002
CBLO,C2 Blockchain Inc,0.013,USD,-12.751677852348998,201056,5.767014407783588,3301167.9999999995,USD,,,,,,Miscellaneous,,100,
IZOZF,Izotropic Corporation,0.0553,USD,-21.000000000000004,136244,5.82754830127506,3041298.4622222222,USD,,-0.03987304,USD,57.49704276801816,0,Health technology,,20000,49454157.86009999
